"srprec","tract","block","blkreg","srtotreg","pctsrprec","blktotreg","pctblk"
"1123","26004","1009","28","854","3.278688524","83","33.734939759"
"1123","26100","2000","106","854","12.412177985","106","100"
"1123","26100","2001","65","854","7.611241217","65","100"
"1123","26100","2002","159","854","18.618266978","159","100"
"1123","26100","2003","180","854","21.077283372","180","100"
"1123","26100","2004","39","854","4.56674473","39","100"
"1123","26100","2005","85","854","9.953161592","85","100"
"1123","26100","2009","192","854","22.482435597","192","100"
"1124","26100","3001","59","943","6.256627783","59","100"
"1124","26100","3004","72","943","7.635206786","72","100"
"1124","26100","3006","59","943","6.256627783","59","100"
"1124","26100","3009","80","943","8.483563096","80","100"
"1124","26100","3010","72","943","7.635206786","72","100"
"1124","26100","3011","73","943","7.741251325","73","100"
"1124","26100","3012","45","943","4.772004241","45","100"
"1124","26100","4004","35","943","3.711558854","35","100"
"1124","26100","4005","148","943","15.694591728","148","100"
"1124","26100","4007","2","943","0.212089077","2","100"
"1124","26100","4008","85","943","9.01378579","85","100"
"1124","26100","4009","113","943","11.983032873","113","100"
"1124","26100","4010","100","943","10.60445387","100","100"
"1125","25501","3004","6","1003","0.598205383","58","10.344827586"
"1125","26100","1000","3","1003","0.299102691","3","100"
"1125","26100","1001","6","1003","0.598205383","6","100"
"1125","26100","1002","70","1003","6.979062811","70","100"
"1125","26100","1003","99","1003","9.870388833","99","100"
"1125","26100","1005","119","1003","11.864406779","119","100"
"1125","26100","1006","183","1003","18.245264207","183","100"
"1125","26100","1007","125","1003","12.462612163","125","100"
"1125","26100","1008","173","1003","17.248255234","173","100"
"1125","26100","1009","33","1003","3.290129611","33","100"
"1125","26100","4001","95","1003","9.471585244","95","100"
"1125","26100","4002","66","1003","6.580259222","66","100"
"1125","26100","4003","25","1003","2.492522432","25","100"
"1126","25501","1000","68","1022","6.653620352","68","100"
"1126","25501","1001","83","1022","8.121330724","83","100"
"1126","25501","1002","22","1022","2.152641878","22","100"
"1126","25501","1003","25","1022","2.446183953","25","100"
"1126","25501","1004","70","1022","6.849315068","70","100"
"1126","25501","1005","31","1022","3.033268101","31","100"
"1126","25501","1006","89","1022","8.708414872","89","100"
"1126","25501","1007","86","1022","8.414872798","86","100"
"1126","25501","1008","178","1022","17.416829745","178","100"
"1126","25501","1009","86","1022","8.414872798","86","100"
"1126","25501","1010","85","1022","8.31702544","85","100"
"1126","25501","2002","81","1022","7.925636007","81","100"
"1126","25501","2003","118","1022","11.545988258","118","100"
"1127","25501","2008","169","1075","15.720930232","169","100"
"1127","25501","3000","117","1075","10.88372093","117","100"
"1127","25501","3001","84","1075","7.813953488","84","100"
"1127","25501","3002","57","1075","5.302325581","57","100"
"1127","25501","3003","77","1075","7.162790697","77","100"
"1127","25501","3004","52","1075","4.837209302","58","89.655172413"
"1127","25501","3005","79","1075","7.348837209","79","100"
"1127","25502","2012","32","1075","2.976744186","32","100"
"1127","25502","2013","110","1075","10.232558139","110","100"
"1127","25502","2014","110","1075","10.232558139","110","100"
"1127","25502","2015","104","1075","9.674418604","104","100"
"1127","25502","2017","84","1075","7.813953488","84","100"
"1128","25501","2000","101","1001","10.089910089","101","100"
"1128","25501","2001","201","1001","20.079920079","201","100"
"1128","25501","2004","28","1001","2.797202797","28","100"
"1128","25501","2005","38","1001","3.796203796","38","100"
"1128","25501","2006","83","1001","8.291708291","83","100"
"1128","25501","2007","72","1001","7.192807192","72","100"
"1128","25502","2002","22","1001","2.197802197","22","100"
"1128","25502","2005","109","1001","10.889110889","109","100"
"1128","25502","2006","198","1001","19.78021978","198","100"
"1128","25502","2008","39","1001","3.896103896","39","100"
"1128","25502","2009","49","1001","4.895104895","49","100"
"1128","25502","2010","26","1001","2.597402597","26","100"
"1128","25502","2011","35","1001","3.496503496","35","100"
"1129","25502","1003","43","1038","4.142581888","43","100"
"1129","25502","1004","42","1038","4.046242774","42","100"
"1129","25502","1005","25","1038","2.408477842","25","100"
"1129","25502","1006","27","1038","2.601156069","27","100"
"1129","25502","1007","60","1038","5.78034682","60","100"
