"","title","artist","year","lyrics","id"
"21","Capacity","Big Thief",2017,"[Verse 1]
Flight is a beautiful word
Flowered with consonance
That’s what I'll followed
Forever
I am a beautiful bird
Fluttered and floating
Swollen and hollowed
For heaven

[Chorus]
Do what you want with me
Lost in your captivity
Learning capacity
For make-believing everything
Is really hanging on

[Verse 2]
Slipping away from the party
Totally vacant
Everyone gone from their bodies
You were outside kissing another
She was a friend of mine
I was surprised to discover
[Chorus]
I wrapped my arms around her
She was a beautiful figure
There are no enemies
We’re make-believing everything
Is really hanging on

[Verse 3]
There is a castle that stands
High in the canyon
The blue knights are crying together
A child is holding my hand
She is directing, the red crystal pine with a feather

[Chorus]
Do what you want with me
Lost in your captivity
Learning capacity
For make-believing everything
Is really hanging on
Really hanging on
Really hanging on",3113713
"22","Objects","Big Thief",2017,"Old volcanoes melting
Love is overwhelming
Letting your insides out

Blind altercation
Open invitation
Breaking your guard down

Leaving the familiar
Air is getting chillier
Stepping outside your skin

No ordinary measurement
You turn your own light on
You turn your own light on inside of me
Closer the farther you've gone
Stronger the harder you fall in front of me

Walking through your garden
Pulling up the garlic
Getting our hands dirty
Kissing on the vampires
Kissing on the werewolves
We have no enemies

No ordinary measurement
You turn your own light on
You turn your own light on inside of me
Closer the farther you've gone
Stronger the harder you fall in front of me
You turn your own light on
You turn your own light on inside of me
Closer the farther you've gone
Stronger the harder you fall in front of me
You turn your own light on
You turn your own light on
You turn your own light on inside of me
Closer the farther you've gone
Stronger the harder you fall in front of me",3113721
"23","Breathe in My Lungs","Big Thief",2017,"Lifting the edge of her bed
Walking a girl to the altar
No love is like this
No sacrifices
My only child, my only daughter
How will I leave your body?

Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms

I have the love of her father
He has the eyes of our daughter
Her eyes are like his
Shining sapphires
I see holy light
I trusted you to fight
Holy light, I trust in you to fight
How will I leave her body?
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms
Breathe in my lungs and I'll leave in your arms",3113796
"24","Haley","Big Thief",2017,"Just like that, she is
I mean
We are, we are gone for good

For closing my eye
Too soon
Missed the room
Old magpie
It just passed me through

[Chorus]
Oh, when it gets you down
When you get that notion
Any way you walk around
Anywhere that you are going
If you ever wanna come back
You know my arms are always open

Just like how it used to be, Haley
Kicking around, burying letters we wrote
Oh, wondering what yours might've said to me
Mine went
There are the geese
Over the trail
We have the open road
Oh
[Chorus]
And oh when it gets you down
When you get that notion
Any way you walk around
Anywhere that you are going
If you ever wanna come back
You know my arms are always open

Just like that, he's holding my hand
Redirect, rearrange, bringing the moon to land
Oh

[Chorus]
And oh, and it gets you down
When you get that notion
Any way you walk around
Anywhere that you are going
If you ever wanna come back
You know my arms are always open",3113962
"25","Orange","Big Thief",2019,"[Verse 1]
Orange is the color of my love
Fragile orange wind in the garden
Fragile means that I can hear her flesh
Crying little rivers in her forearm
Fragile is that I mourn her death
As our limbs are twisting in her bedroom

[Chorus]
Lies, lies, lies
Lies in her eyes
Lies, lies, lies
Lies in her eyes

[Verse 2]
She tells me to close and count to ten
As she wanders freely through the forest
Can I close and open once again?
The question that I seek for reassurance

[Chorus]
Lies, lies, lies
Lies in her eyes
Lies, lies, lies
Lies in her eyes
[Verse 3]
Hound dogs crowing at the stars above
Pigeons fall like snowflakes at the border
She kneels down and holds the frozen dove
The moon drips like water from her shoulder

[Chorus]
Flies, flies, flies
Flies from her eyes
Flies, flies, flies
Flies from her eyes

[Outro]
Orange is the color of my love
Fragile orange wind in the garden
Fragile means that I can hear her flesh
Crying little rivers in her forearm
Fragile is that I mourn her death
As our limbs are twisting in her bedroom",3211253
"26","Mother","Big Thief",2016,"She wears flowers around her neck
She cooks that egg so perfect
To eat it warm
To eat it warm, warm

And you sleep under her arm
Where spells fly
To the high white noise
To the highway dime

She looks that bird in the eye
Cuts his throat and bleeds him dry
To eat him warm
To eat him warm, warm

And you sleep under her arm
Where the spells fly
To the high white noise
To the highway dime

She makes milk inside her breast
She dove down to find what's left
And eat it warm
And eat it warm, warm
And you sleep under her arm
Where the spells fly
To the high white noise
To the highway dime",3523498
"27","Not","Big Thief",2019,"[Verse 1]
It's not the energy reeling
Nor the lines in your face
Nor the clouds on the ceiling
Nor the clouds in space
It's not the phone on the table
Nor the bed in the earth
Nor the bed in the stable
Nor your stable words
It's not the formless being
Nor the cry in the air
Nor the boy I'm seeing
With her long black hair
It's not the open weaving
Nor the furnace glow
Nor the blood of you bleeding
As you try to let go

[Chorus]
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat
[Verse 2]
Not the meat of your thigh
Nor your spine tattoo
Nor your shimmery eye
Nor the wet of the dew
It's not the warm illusion
Nor the crack in the plate
Nor the breath of confusion
Nor the starkness of slate

[Chorus]
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat

[Verse 3]
Not what you really wanted
Nor the mess in your purse
Nor the bed that is haunted
With the blanket of thirst
It's not the hunger revealing
Nor the ricochet in the cave
Nor the hand that is healing
Nor the nameless grave
[Chorus]
It's not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning
Not a ruse
Not heat
Not the fire lapping up the creek
Not food
Not to eat
Not to die
Not dying
Not to laugh
Not lying
Not the vacant wilderness vying
Not the room
Not beginning
Not the crowd
Not winning
Not the planet
Not spinning",3623825
"28","Wide Winged Bird I","Big Thief",2018,"[Avant-Garde Effects]

[Poem]
Sitting on steps, the topmost
There's a pasture before me
Where the brief shadows of small trees are plain to see at 2 a.m
Where the moon lights the back of a head
Bowed in respect of all that is
I'm not sure I want to talk anymore
Maybe there is something I could say a poet would feel
Maybe there's no need
A true poet already sits beside me
Head bowed to the moonlight
I am at once alone and inside everything
Even in the den of the world there is a silence that sings of reverence
There is a space that cannot be described
In that space words are noise:
Substantiated evidence of distraction, a step behind now
An understandable preoccupation of the mind's attempt at solving a mystery
So I am not sure if I want to talk anymore
Some days my heart is heavier than I knew I could bear
Some days it floats beyond gravity's reach
And words are heavy
To use them lets loose an anchor that only proves the science of causality
I know these things
Though the knowing mostly serves as a reminder of an absence
Maybe only momentary, or
Until the moon shines once more on a poet's bowed head
So I am not sure I want (much) to talk
There is no sayable clarity
No translation in large print
There is only this moment
And I live inside it alone
But look upon the world with eyes that say what can't be said
[Avant-Garde Effects]",3710189
"29","I Wanna Know Why Wide Winged Bird Version","Big Thief",2018,"[Avant-Garde Effects]

[Verse 1]
Joni sang me a story
Misty-eyed train ride New York rain
In the morning
Time's not ticking, it's pouring
Each tock like a drop of the melting sun
Sun warming

[Chorus]
Well some tired ghost came by
Didn't even try
You were out waving goodbye
With arms open wide to the sky
Oh my love, I want to know why
Why you call to me this way

[Verse 2]
Come on, come to me, my love
Fast on the arms of the eastern light
Through the window
Now I am trying to forgive you
But nothing I ever do takes you
Brings you back
[Chorus]
Well some tired ghost came by
Didn't even try
You were out waving goodbye
With arms open wide to the sky
Oh my love, I want to know why
My love, I want to know why
My love I want to know
Why you call to me this way

[Avant-Garde Effects]

[Spoken]
I should just sell that to Nashville
Was that, was that it?
It's the second of the A
And the chord before it",3710272
"30","Black Flowers Wide Winged Bird Version","Big Thief",2018,"[Verse 1]
Walking home in her dirty clothes
She is a flower that no one knows
And the man her blue eyes hold
I can see it now, in the way they glow
She gave blood to him for me

[Verse 2]
Oh, the blade of the old man's knife
How he carved his twisted life
Through her young body in the hard, white light
And her eyes, they fell as black as night
She gave blood to him for me

[Chorus]
Her little wrists
Her little hands
Black flowers land
Into her future child

[Verse 3]
I see my momma at 15
Dancing like a disco queen
I see my father, he was 43
And he held her down, saying, """"Don't you scream.""""
She gave blood to him for me
[Chorus]
Her little wrists
Her little hands
Black flowers land
Into her future
My mother
My mother
My mother",3710358
